"function_name","return_type","arguments","schema"
"pgis_geometry_coverageunion_finalfn","geometry","internal","public"
"pgis_geometry_makeline_finalfn","geometry","internal","public"
"pgis_geometry_polygonize_finalfn","geometry","internal","public"
"pgis_geometry_union_parallel_combinefn","internal","internal, internal","public"
"pgis_geometry_union_parallel_deserialfn","internal","bytea, internal","public"
"pgis_geometry_union_parallel_finalfn","geometry","internal","public"
"pgis_geometry_union_parallel_serialfn","bytea","internal","public"
"pgis_geometry_union_parallel_transfn","internal","internal, geometry","public"
"pgis_geometry_union_parallel_transfn","internal","internal, geometry, double precision","public"
"pgp_armor_headers","SETOF record","text, OUT key text, OUT value text","public"
"pgp_key_id","text","bytea","public"
"pgp_pub_decrypt","text","bytea, bytea, text","public"
"pgp_pub_decrypt","text","bytea, bytea, text, text","public"
"pgp_pub_decrypt","text","bytea, bytea","public"
"pgp_pub_decrypt_bytea","bytea","bytea, bytea, text","public"
"pgp_pub_decrypt_bytea","bytea","bytea, bytea","public"
"pgp_pub_decrypt_bytea","bytea","bytea, bytea, text, text","public"
"pgp_pub_encrypt","bytea","text, bytea","public"
"pgp_pub_encrypt","bytea","text, bytea, text","public"
"pgp_pub_encrypt_bytea","bytea","bytea, bytea, text","public"
"pgp_pub_encrypt_bytea","bytea","bytea, bytea","public"
"pgp_sym_decrypt","text","bytea, text, text","public"
"pgp_sym_decrypt","text","bytea, text","public"
"pgp_sym_decrypt_bytea","bytea","bytea, text, text","public"
"pgp_sym_decrypt_bytea","bytea","bytea, text","public"
"pgp_sym_encrypt","bytea","text, text, text","public"
"pgp_sym_encrypt","bytea","text, text","public"
"pgp_sym_encrypt_bytea","bytea","bytea, text","public"
"pgp_sym_encrypt_bytea","bytea","bytea, text, text","public"
"point","point","geometry","public"
"polygon","polygon","geometry","public"
"populate_geometry_columns","integer","tbl_oid oid, use_typmod boolean DEFAULT true","public"
"populate_geometry_columns","text","use_typmod boolean DEFAULT true","public"
"postgis_addbbox","geometry","geometry","public"
"postgis_cache_bbox","trigger","","public"
"postgis_constraint_dims","integer","geomschema text, geomtable text, geomcolumn text","public"
"postgis_constraint_srid","integer","geomschema text, geomtable text, geomcolumn text","public"
"postgis_constraint_type","character varying","geomschema text, geomtable text, geomcolumn text","public"
"postgis_dropbbox","geometry","geometry","public"
"postgis_extensions_upgrade","text","target_version text DEFAULT NULL::text","public"
"postgis_full_version","text","","public"
"postgis_geos_compiled_version","text","","public"
"postgis_geos_noop","geometry","geometry","public"
"postgis_geos_version","text","","public"
"postgis_getbbox","box2d","geometry","public"
"postgis_hasbbox","boolean","geometry","public"
"postgis_index_supportfn","internal","internal","public"
"postgis_lib_build_date","text","","public"
"postgis_lib_revision","text","","public"
"postgis_lib_version","text","","public"
"postgis_libjson_version","text","","public"
"postgis_liblwgeom_version","text","","public"
"postgis_libprotobuf_version","text","","public"
"postgis_libxml_version","text","","public"
"postgis_noop","geometry","geometry","public"
"postgis_proj_compiled_version","text","","public"
"postgis_proj_version","text","","public"
"postgis_scripts_build_date","text","","public"
"postgis_scripts_installed","text","","public"
"postgis_scripts_released","text","","public"
"postgis_srs","TABLE(auth_name text, auth_srid text, srname text, srtext text, proj4text text, point_sw geometry, point_ne geometry)","auth_name text, auth_srid text","public"
"postgis_srs_all","TABLE(auth_name text, auth_srid text, srname text, srtext text, proj4text text, point_sw geometry, point_ne geometry)","","public"
"postgis_srs_codes","SETOF text","auth_name text","public"
"postgis_srs_search","TABLE(auth_name text, auth_srid text, srname text, srtext text, proj4text text, point_sw geometry, point_ne geometry)","bounds geometry, authname text DEFAULT 'EPSG'::text","public"
"postgis_svn_version","text","","public"
"postgis_transform_geometry","geometry","geom geometry, text, text, integer","public"
"postgis_transform_pipeline_geometry","geometry","geom geometry, pipeline text, forward boolean, to_srid integer","public"
"postgis_type_name","character varying","geomname character varying, coord_dimension integer, use_new_name boolean DEFAULT true","public"
"postgis_typmod_dims","integer","integer","public"
"postgis_typmod_srid","integer","integer","public"
"postgis_typmod_type","text","integer","public"
"postgis_version","text","","public"
"postgis_wagyu_version","text","","public"
"profiles_search_update","trigger","","public"
"rate_user_atomic","jsonb","p_job_id uuid, p_rater_user_id uuid, p_rated_user_id uuid, p_rating integer, p_comment text DEFAULT ''::text, p_rating_type text DEFAULT 'worker'::text, p_target_type text DEFAULT 'worker'::text","public"
"register_user","uuid","p_email text, p_password text, p_full_name text, p_role text DEFAULT 'worker'::text","public"
"reject_application","json","p_job_id uuid, p_app_id uuid","public"
"resolve_user_atomic","jsonb","p_user_id uuid","public"
"set_limit","real","real","public"
"show_limit","real","","public"
"show_trgm","text[]","text","public"
"similarity","real","text, text","public"
"similarity_dist","real","text, text","public"
"similarity_op","boolean","text, text","public"
"spheroid_in","spheroid","cstring","public"
"spheroid_out","cstring","spheroid","public"
"st_3dclosestpoint","geometry","geom1 geometry, geom2 geometry","public"
"st_3ddfullywithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"st_3ddistance","double precision","geom1 geometry, geom2 geometry","public"
"st_3ddwithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"st_3dintersects","boolean","geom1 geometry, geom2 geometry","public"
"st_3dlength","double precision","geometry","public"
"st_3dlineinterpolatepoint","geometry","geometry, double precision","public"
"st_3dlongestline","geometry","geom1 geometry, geom2 geometry","public"
"st_3dmakebox","box3d","geom1 geometry, geom2 geometry","public"
"st_3dmaxdistance","double precision","geom1 geometry, geom2 geometry","public"
"st_3dperimeter","double precision","geometry","public"
"st_3dshortestline","geometry","geom1 geometry, geom2 geometry","public"
"st_addmeasure","geometry","geometry, double precision, double precision","public"
"st_addpoint","geometry","geom1 geometry, geom2 geometry, integer","public"
"st_addpoint","geometry","geom1 geometry, geom2 geometry","public"
"st_affine","geometry","geometry, double precision, double precision, double precision, double precision, double precision, double precision","public"
"st_affine","geometry","geometry, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision","public"
"st_angle","double precision","line1 geometry, line2 geometry","public"
"st_angle","double precision","pt1 geometry, pt2 geometry, pt3 geometry, pt4 geometry DEFAULT '0101000000000000000000F87F000000000000F87F'::geometry","public"
"st_area","double precision","geog geography, use_spheroid boolean DEFAULT true","public"
"st_area","double precision","text","public"
"st_area","double precision","geometry","public"
"st_area2d","double precision","geometry","public"
"st_asbinary","bytea","geometry","public"
"st_asbinary","bytea","geography","public"
"st_asbinary","bytea","geography, text","public"
"st_asbinary","bytea","geometry, text","public"
"st_asencodedpolyline","text","geom geometry, nprecision integer DEFAULT 5","public"
"st_asewkb","bytea","geometry","public"
"st_asewkb","bytea","geometry, text","public"
"st_asewkt","text","text","public"
"st_asewkt","text","geography","public"
"st_asewkt","text","geometry, integer","public"
"st_asewkt","text","geometry","public"
"st_asewkt","text","geography, integer","public"
"st_asgeojson","text","text","public"
"st_asgeojson","text","geog geography, maxdecimaldigits integer DEFAULT 9, options integer DEFAULT 0","public"
"st_asgeojson","text","geom geometry, maxdecimaldigits integer DEFAULT 9, options integer DEFAULT 8","public"
"st_asgeojson","text","r record, geom_column text DEFAULT ''::text, maxdecimaldigits integer DEFAULT 9, pretty_bool boolean DEFAULT false, id_column text DEFAULT ''::text","public"
"st_asgml","text","geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0","public"
"st_asgml","text","text","public"
"st_asgml","text","geog geography, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT 'gml'::text, id text DEFAULT ''::text","public"
"st_asgml","text","version integer, geog geography, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT 'gml'::text, id text DEFAULT ''::text","public"
"st_asgml","text","version integer, geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT NULL::text, id text DEFAULT NULL::text","public"
"st_ashexewkb","text","geometry, text","public"
"st_ashexewkb","text","geometry","public"
"st_askml","text","geom geometry, maxdecimaldigits integer DEFAULT 15, nprefix text DEFAULT ''::text","public"
"st_askml","text","geog geography, maxdecimaldigits integer DEFAULT 15, nprefix text DEFAULT ''::text","public"
"st_askml","text","text","public"
"st_aslatlontext","text","geom geometry, tmpl text DEFAULT ''::text","public"
"st_asmarc21","text","geom geometry, format text DEFAULT 'hdddmmss'::text","public"
"st_asmvtgeom","geometry","geom geometry, bounds box2d, extent integer DEFAULT 4096, buffer integer DEFAULT 256, clip_geom boolean DEFAULT true","public"
"st_assvg","text","text","public"
"st_assvg","text","geog geography, rel integer DEFAULT 0, maxdecimaldigits integer DEFAULT 15","public"
"st_assvg","text","geom geometry, rel integer DEFAULT 0, maxdecimaldigits integer DEFAULT 15","public"
"st_astext","text","geography","public"
"st_astext","text","geometry","public"
"st_astext","text","geometry, integer","public"
"st_astext","text","geography, integer","public"
"st_astext","text","text","public"
"st_astwkb","bytea","geom geometry, prec integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer, with_sizes boolean DEFAULT NULL::boolean, with_boxes boolean DEFAULT NULL::boolean","public"
"st_astwkb","bytea","geom geometry[], ids bigint[], prec integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer, with_sizes boolean DEFAULT NULL::boolean, with_boxes boolean DEFAULT NULL::boolean","public"
"st_asx3d","text","geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0","public"
"st_azimuth","double precision","geom1 geometry, geom2 geometry","public"
"st_azimuth","double precision","geog1 geography, geog2 geography","public"
"st_bdmpolyfromtext","geometry","text, integer","public"
"st_bdpolyfromtext","geometry","text, integer","public"
"st_boundary","geometry","geometry","public"
"st_boundingdiagonal","geometry","geom geometry, fits boolean DEFAULT false","public"
"st_box2dfromgeohash","box2d","text, integer DEFAULT NULL::integer","public"
"st_buffer","geography","geography, double precision, text","public"
"st_buffer","geometry","geom geometry, radius double precision, options text DEFAULT ''::text","public"
"st_buffer","geometry","text, double precision, text","public"
"st_buffer","geometry","text, double precision, integer","public"
"st_buffer","geometry","text, double precision","public"
"st_buffer","geography","geography, double precision, integer","public"
"st_buffer","geography","geography, double precision","public"
"st_buffer","geometry","geom geometry, radius double precision, quadsegs integer","public"
"st_buildarea","geometry","geometry","public"
"st_centroid","geography","geography, use_spheroid boolean DEFAULT true","public"
"st_centroid","geometry","geometry","public"
"st_centroid","geometry","text","public"
"st_chaikinsmoothing","geometry","geometry, integer DEFAULT 1, boolean DEFAULT false","public"
"st_cleangeometry","geometry","geometry","public"
"st_clipbybox2d","geometry","geom geometry, box box2d","public"
"st_closestpoint","geometry","geom1 geometry, geom2 geometry","public"
"st_closestpoint","geometry","text, text","public"
"st_closestpoint","geography","geography, geography, use_spheroid boolean DEFAULT true","public"
"st_closestpointofapproach","double precision","geometry, geometry","public"
"st_clusterintersecting","geometry[]","geometry[]","public"
"st_clusterwithin","geometry[]","geometry[], double precision","public"
"st_collect","geometry","geometry[]","public"
"st_collect","geometry","geom1 geometry, geom2 geometry","public"
"st_collectionextract","geometry","geometry","public"
"st_collectionextract","geometry","geometry, integer","public"
"st_collectionhomogenize","geometry","geometry","public"
"st_combinebbox","box3d","box3d, box3d","public"
"st_combinebbox","box2d","box2d, geometry","public"
"st_combinebbox","box3d","box3d, geometry","public"
"st_concavehull","geometry","param_geom geometry, param_pctconvex double precision, param_allow_holes boolean DEFAULT false","public"
"st_contains","boolean","geom1 geometry, geom2 geometry","public"
"st_containsproperly","boolean","geom1 geometry, geom2 geometry","public"
"st_convexhull","geometry","geometry","public"
"st_coorddim","smallint","geometry geometry","public"
"st_coverageunion","geometry","geometry[]","public"
"st_coveredby","boolean","text, text","public"
"st_coveredby","boolean","geom1 geometry, geom2 geometry","public"
"st_coveredby","boolean","geog1 geography, geog2 geography","public"
"st_covers","boolean","text, text","public"
"st_covers","boolean","geom1 geometry, geom2 geometry","public"
"st_covers","boolean","geog1 geography, geog2 geography","public"
