"proname","args","language"
"similarity_op","text, text","c"
"spheroid_in","cstring","c"
"spheroid_out","spheroid","c"
"st_3dclosestpoint","geom1 geometry, geom2 geometry","c"
"st_3ddfullywithin","geom1 geometry, geom2 geometry, double precision","c"
"st_3ddistance","geom1 geometry, geom2 geometry","c"
"st_3ddwithin","geom1 geometry, geom2 geometry, double precision","c"
"st_3dextent","geometry","internal"
"st_3dintersects","geom1 geometry, geom2 geometry","c"
"st_3dlength","geometry","c"
"st_3dlineinterpolatepoint","geometry, double precision","c"
"st_3dlongestline","geom1 geometry, geom2 geometry","c"
"st_3dmakebox","geom1 geometry, geom2 geometry","c"
"st_3dmaxdistance","geom1 geometry, geom2 geometry","c"
"st_3dperimeter","geometry","c"
"st_3dshortestline","geom1 geometry, geom2 geometry","c"
"st_addmeasure","geometry, double precision, double precision","c"
"st_addpoint","geom1 geometry, geom2 geometry, integer","c"
"st_addpoint","geom1 geometry, geom2 geometry","c"
"st_affine","geometry, double precision, double precision, double precision, double precision, double precision, double precision","sql"
"st_affine","geometry, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision","c"
"st_angle","pt1 geometry, pt2 geometry, pt3 geometry, pt4 geometry DEFAULT '0101000000000000000000F87F000000000000F87F'::geometry","c"
"st_angle","line1 geometry, line2 geometry","sql"
"st_area","text","sql"
"st_area","geometry","c"
"st_area","geog geography, use_spheroid boolean DEFAULT true","c"
"st_area2d","geometry","c"
"st_asbinary","geometry","c"
"st_asbinary","geography, text","c"
"st_asbinary","geography","c"
"st_asbinary","geometry, text","c"
"st_asencodedpolyline","geom geometry, nprecision integer DEFAULT 5","c"
"st_asewkb","geometry, text","c"
"st_asewkb","geometry","c"
"st_asewkt","geometry","c"
"st_asewkt","text","sql"
"st_asewkt","geography, integer","c"
"st_asewkt","geography","c"
"st_asewkt","geometry, integer","c"
"st_asflatgeobuf","anyelement, boolean","internal"
"st_asflatgeobuf","anyelement","internal"
"st_asflatgeobuf","anyelement, boolean, text","internal"
"st_asgeobuf","anyelement","internal"
"st_asgeobuf","anyelement, text","internal"
"st_asgeojson","r record, geom_column text DEFAULT ''::text, maxdecimaldigits integer DEFAULT 9, pretty_bool boolean DEFAULT false, id_column text DEFAULT ''::text","c"
"st_asgeojson","geog geography, maxdecimaldigits integer DEFAULT 9, options integer DEFAULT 0","c"
"st_asgeojson","geom geometry, maxdecimaldigits integer DEFAULT 9, options integer DEFAULT 8","c"
"st_asgeojson","text","sql"
"st_asgml","geog geography, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT 'gml'::text, id text DEFAULT ''::text","c"
"st_asgml","geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0","c"
"st_asgml","version integer, geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT NULL::text, id text DEFAULT NULL::text","c"
"st_asgml","version integer, geog geography, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT 'gml'::text, id text DEFAULT ''::text","c"
"st_asgml","text","sql"
"st_ashexewkb","geometry","c"
"st_ashexewkb","geometry, text","c"
"st_askml","geog geography, maxdecimaldigits integer DEFAULT 15, nprefix text DEFAULT ''::text","c"
"st_askml","geom geometry, maxdecimaldigits integer DEFAULT 15, nprefix text DEFAULT ''::text","c"
"st_askml","text","sql"
"st_aslatlontext","geom geometry, tmpl text DEFAULT ''::text","c"
"st_asmarc21","geom geometry, format text DEFAULT 'hdddmmss'::text","c"
"st_asmvt","anyelement, text, integer, text","internal"
"st_asmvt","anyelement, text","internal"
"st_asmvt","anyelement, text, integer, text, text","internal"
"st_asmvt","anyelement, text, integer","internal"
"st_asmvt","anyelement","internal"
"st_asmvtgeom","geom geometry, bounds box2d, extent integer DEFAULT 4096, buffer integer DEFAULT 256, clip_geom boolean DEFAULT true","c"
"st_assvg","geom geometry, rel integer DEFAULT 0, maxdecimaldigits integer DEFAULT 15","c"
"st_assvg","geog geography, rel integer DEFAULT 0, maxdecimaldigits integer DEFAULT 15","c"
"st_assvg","text","sql"
"st_astext","text","sql"
"st_astext","geometry","c"
"st_astext","geometry, integer","c"
"st_astext","geography","c"
"st_astext","geography, integer","c"
"st_astwkb","geom geometry[], ids bigint[], prec integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer, with_sizes boolean DEFAULT NULL::boolean, with_boxes boolean DEFAULT NULL::boolean","c"
"st_astwkb","geom geometry, prec integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer, with_sizes boolean DEFAULT NULL::boolean, with_boxes boolean DEFAULT NULL::boolean","c"
"st_asx3d","geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0","sql"
"st_azimuth","geom1 geometry, geom2 geometry","c"
"st_azimuth","geog1 geography, geog2 geography","c"
"st_bdmpolyfromtext","text, integer","plpgsql"
"st_bdpolyfromtext","text, integer","plpgsql"
"st_boundary","geometry","c"
"st_boundingdiagonal","geom geometry, fits boolean DEFAULT false","c"
"st_box2dfromgeohash","text, integer DEFAULT NULL::integer","c"
"st_buffer","text, double precision, integer","sql"
"st_buffer","text, double precision","sql"
"st_buffer","geography, double precision, text","sql"
"st_buffer","geography, double precision, integer","sql"
"st_buffer","geography, double precision","sql"
"st_buffer","geom geometry, radius double precision, quadsegs integer","sql"
"st_buffer","text, double precision, text","sql"
"st_buffer","geom geometry, radius double precision, options text DEFAULT ''::text","c"
"st_buildarea","geometry","c"
"st_centroid","text","sql"
"st_centroid","geography, use_spheroid boolean DEFAULT true","c"
"st_centroid","geometry","c"
"st_chaikinsmoothing","geometry, integer DEFAULT 1, boolean DEFAULT false","c"
"st_cleangeometry","geometry","c"
"st_clipbybox2d","geom geometry, box box2d","c"
"st_closestpoint","text, text","sql"
"st_closestpoint","geography, geography, use_spheroid boolean DEFAULT true","c"
"st_closestpoint","geom1 geometry, geom2 geometry","c"
"st_closestpointofapproach","geometry, geometry","c"
"st_clusterdbscan","geometry, eps double precision, minpoints integer","c"
"st_clusterintersecting","geometry[]","c"
"st_clusterintersecting","geometry","internal"
"st_clusterintersectingwin","geometry","c"
"st_clusterkmeans","geom geometry, k integer, max_radius double precision DEFAULT NULL::double precision","c"
"st_clusterwithin","geometry[], double precision","c"
"st_clusterwithin","geometry, double precision","internal"
"st_clusterwithinwin","geometry, distance double precision","c"
"st_collect","geometry[]","c"
"st_collect","geometry","internal"
"st_collect","geom1 geometry, geom2 geometry","c"
"st_collectionextract","geometry, integer","c"
"st_collectionextract","geometry","c"
"st_collectionhomogenize","geometry","c"
"st_combinebbox","box2d, geometry","c"
"st_combinebbox","box3d, box3d","c"
"st_combinebbox","box3d, geometry","c"
"st_concavehull","param_geom geometry, param_pctconvex double precision, param_allow_holes boolean DEFAULT false","plpgsql"
"st_contains","geom1 geometry, geom2 geometry","c"
"st_containsproperly","geom1 geometry, geom2 geometry","c"
"st_convexhull","geometry","c"
"st_coorddim","geometry geometry","c"
"st_coverageinvalidedges","geom geometry, tolerance double precision DEFAULT 0.0","c"
"st_coveragesimplify","geom geometry, tolerance double precision, simplifyboundary boolean DEFAULT true","c"
"st_coverageunion","geometry","internal"
"st_coverageunion","geometry[]","c"
"st_coveredby","text, text","sql"
"st_coveredby","geog1 geography, geog2 geography","c"
"st_coveredby","geom1 geometry, geom2 geometry","c"
"st_covers","text, text","sql"
"st_covers","geom1 geometry, geom2 geometry","c"
"st_covers","geog1 geography, geog2 geography","c"
"st_cpawithin","geometry, geometry, double precision","c"
"st_crosses","geom1 geometry, geom2 geometry","c"
"st_curven","geometry geometry, i integer","c"
"st_curvetoline","geom geometry, tol double precision DEFAULT 32, toltype integer DEFAULT 0, flags integer DEFAULT 0","c"
"st_delaunaytriangles","g1 geometry, tolerance double precision DEFAULT 0.0, flags integer DEFAULT 0","c"
"st_dfullywithin","geom1 geometry, geom2 geometry, double precision","c"
"st_difference","geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1.0'::numeric","c"
"st_dimension","geometry","c"
"st_disjoint","geom1 geometry, geom2 geometry","c"
"st_distance","text, text","sql"
"st_distance","geom1 geometry, geom2 geometry","c"
"st_distance","geog1 geography, geog2 geography, use_spheroid boolean DEFAULT true","c"
"st_distancecpa","geometry, geometry","c"
"st_distancesphere","geom1 geometry, geom2 geometry, radius double precision","c"
"st_distancesphere","geom1 geometry, geom2 geometry","sql"
"st_distancespheroid","geom1 geometry, geom2 geometry","c"
"st_distancespheroid","geom1 geometry, geom2 geometry, spheroid","c"
"st_dump","geometry","c"
"st_dumppoints","geometry","c"
"st_dumprings","geometry","c"
"st_dumpsegments","geometry","c"
"st_dwithin","geom1 geometry, geom2 geometry, double precision","c"
"st_dwithin","geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean DEFAULT true","c"
"st_dwithin","text, text, double precision","sql"
"st_endpoint","geometry","c"
"st_envelope","geometry","c"
"st_equals","geom1 geometry, geom2 geometry","c"
"st_estimatedextent","text, text, text, boolean","c"
"st_estimatedextent","text, text, text","c"
"st_estimatedextent","text, text","c"
"st_expand","box box2d, dx double precision, dy double precision","c"
"st_expand","box box3d, dx double precision, dy double precision, dz double precision DEFAULT 0","c"
"st_expand","geom geometry, dx double precision, dy double precision, dz double precision DEFAULT 0, dm double precision DEFAULT 0","c"
"st_expand","box2d, double precision","c"
"st_expand","box3d, double precision","c"
"st_expand","geometry, double precision","c"
"st_extent","geometry","internal"
"st_exteriorring","geometry","c"
"st_filterbym","geometry, double precision, double precision DEFAULT NULL::double precision, boolean DEFAULT false","c"
"st_findextent","text, text","plpgsql"
"st_findextent","text, text, text","plpgsql"
"st_flipcoordinates","geometry","c"
"st_force2d","geometry","c"
"st_force3d","geom geometry, zvalue double precision DEFAULT 0.0","sql"
